Symbol,Side,Qty,Fill price,Status,Placed time,Closing time,Order ID
XAUUSD,Buy,0.5,3345.00,Filled,2026-06-01 09:45:00,,TV2000
XAUUSD,Sell,0.5,3351.45,Filled,,2026-06-01 10:08:00,TV2001
XAUUSD,Buy,0.5,3351.45,Filled,2026-06-01 09:55:00,,TV2002
XAUUSD,Sell,0.5,3355.77,Filled,,2026-06-01 10:32:00,TV2003
NAS100,Buy,1.0,21850.00,Filled,2026-06-02 10:57:00,,TV2004
NAS100,Sell,1.0,21893.95,Filled,,2026-06-02 11:35:00,TV2005
US500,Buy,1.0,5980.00,Filled,2026-06-02 09:33:00,,TV2006
US500,Sell,1.0,5967.91,Filled,,2026-06-02 10:03:00,TV2007
US500,Sell,1.0,5967.91,Filled,2026-06-02 11:20:00,,TV2008
US500,Buy,1.0,5960.04,Filled,,2026-06-02 11:43:00,TV2009
US500,Sell,1.0,5960.04,Filled,2026-06-03 10:17:00,,TV2010
US500,Buy,1.0,5943.87,Filled,,2026-06-03 10:32:00,TV2011
US500,Buy,1.0,5943.87,Filled,2026-06-03 11:08:00,,TV2012
US500,Sell,1.0,5961.55,Filled,,2026-06-03 11:28:00,TV2013
NAS100,Buy,1.0,21893.95,Filled,2026-06-04 10:08:00,,TV2014
NAS100,Sell,1.0,21913.64,Filled,,2026-06-04 10:55:00,TV2015
XAUUSD,Buy,0.5,3355.77,Filled,2026-06-04 11:09:00,,TV2016
XAUUSD,Sell,0.5,3368.43,Filled,,2026-06-04 11:54:00,TV2017
US500,Buy,1.0,5961.55,Filled,2026-06-04 11:28:00,,TV2018
US500,Sell,1.0,5953.90,Filled,,2026-06-04 12:23:00,TV2019
NAS100,Buy,1.0,21913.64,Filled,2026-06-04 10:34:00,,TV2020
NAS100,Sell,1.0,21881.99,Filled,,2026-06-04 12:01:00,TV2021
US500,Sell,1.0,5953.90,Filled,2026-06-05 11:32:00,,TV2022
US500,Buy,1.0,5936.79,Filled,,2026-06-05 12:10:00,TV2023
EURUSD,Buy,1.0,1.08500,Filled,2026-06-05 10:30:00,,TV2024
EURUSD,Sell,1.0,1.08288,Filled,,2026-06-05 10:44:00,TV2025
EURUSD,Sell,1.0,1.08288,Filled,2026-06-05 12:19:00,,TV2026
EURUSD,Buy,1.0,1.08153,Filled,,2026-06-05 13:09:00,TV2027
NAS100,Buy,1.0,21881.99,Filled,2026-06-05 12:13:00,,TV2028
NAS100,Sell,1.0,21858.92,Filled,,2026-06-05 12:41:00,TV2029
EURUSD,Sell,1.0,1.08153,Filled,2026-06-05 12:55:00,,TV2030
EURUSD,Buy,1.0,1.08360,Filled,,2026-06-05 13:38:00,TV2031
US500,Buy,1.0,5936.79,Filled,2026-06-05 11:56:00,,TV2032
US500,Sell,1.0,5947.59,Filled,,2026-06-05 12:23:00,TV2033
US500,Sell,1.0,5947.59,Filled,2026-06-05 11:50:00,,TV2034
US500,Buy,1.0,5952.06,Filled,,2026-06-05 12:19:00,TV2035
US500,Buy,1.0,5952.06,Filled,2026-06-08 11:09:00,,TV2036
US500,Sell,1.0,5962.68,Filled,,2026-06-08 12:26:00,TV2037
EURUSD,Buy,1.0,1.08360,Filled,2026-06-08 09:34:00,,TV2038
EURUSD,Sell,1.0,1.08677,Filled,,2026-06-08 09:58:00,TV2039
EURUSD,Sell,1.0,1.08677,Filled,2026-06-09 11:06:00,,TV2040
EURUSD,Buy,1.0,1.08457,Filled,,2026-06-09 11:16:00,TV2041
EURUSD,Buy,1.0,1.08457,Filled,2026-06-09 11:41:00,,TV2042
EURUSD,Sell,1.0,1.08753,Filled,,2026-06-09 12:04:00,TV2043
EURUSD,Buy,1.0,1.08753,Filled,2026-06-09 10:44:00,,TV2044
EURUSD,Sell,1.0,1.08586,Filled,,2026-06-09 11:13:00,TV2045
NAS100,Buy,1.0,21858.92,Filled,2026-06-10 11:25:00,,TV2046
NAS100,Sell,1.0,21905.73,Filled,,2026-06-10 11:35:00,TV2047
EURUSD,Buy,1.0,1.08586,Filled,2026-06-10 11:04:00,,TV2048
EURUSD,Sell,1.0,1.08732,Filled,,2026-06-10 11:53:00,TV2049
XAUUSD,Sell,0.5,3368.43,Filled,2026-06-11 09:27:00,,TV2050
